date,Atibainha-QNat,QT6,Cachoeira-QNat,PaivaCastro-Qjus,Jaguari-Qjus,PaivaCastro-Vop,QT7,PaivaCastro-QNat,Atibainha-Qjus,Atibainha-Vop,QT5,Cachoeira-Vop,Jaguari-QNat,Jaguari-Vop,Cachoeira-Qjus,ESI
2008-11-24,4.42,24.93,8.66,1.0,2.0,58.14,18.6,4.88,1.5,46.73,20.94,54.12,20.6,48.28,1.5,27.3
2006-3-31,8.82,1.01,14.42,1.0,0.5,53.66,733.13,18.56,0.51,52.78,0.0,57.5,52.79,68.3,0.5,32.5
2008-7-20,2.57,26.51,1.06,1.0,1.5,62.08,25.34,3.82,1.0,51.76,28.08,48.14,12.91,64.4,2.0,31.4
2009-10-25,5.98,7.06,3.41,1.0,2.0,55.34,2.39,5.04,2.03,52.57,25.0,50.39,15.27,87.2,2.01,33.0
2013-7-16,3.89,27.1,3.49,1.0,1.5,49.22,25.2,3.39,2.26,55.92,23.73,48.55,13.11,55.31,0.38,32.1
2010-4-2,3.61,22.46,9.46,0.2,5.0,51.99,0.0,7.61,1.0,80.59,20.13,76.43,22.44,103.09,1.0,33.0
2004-1-4,3.43,21.37,2.96,0.22,1.0,40.44,13.71,2.4,0.31,40.95,22.7,30.08,13.05,6.05,0.53,30.2
2009-2-21,4.05,19.77,10.2,1.0,0.5,53.66,0.0,6.95,0.5,58.07,28.03,54.75,41.91,77.43,0.5,33.0
2005-1-9,7.82,20.03,8.71,1.0,1.0,48.11,13.93,3.56,0.1,46.53,30.05,32.74,33.07,29.35,0.4,29.7
2014-4-21,1.64,25.0,6.51,0.2,1.0,53.66,17.9,4.79,1.0,48.63,16.43,44.86,3.14,4.34,1.0,22.0
2007-8-27,1.36,29.74,1.14,0.6,1.0,58.7,24.5,1.08,1.0,47.33,30.1,46.63,9.61,38.74,1.51,29.1
2008-3-9,12.49,23.17,9.13,0.6,0.5,53.1,13.73,1.49,0.5,37.2,31.1,48.55,31.77,44.88,0.5,33.0
2013-12-8,5.77,22.39,1.48,1.0,3.0,48.67,25.21,0.68,2.0,46.56,33.05,45.75,24.64,27.74,3.5,30.3
2009-11-27,11.45,35.03,1.71,0.53,2.0,59.82,34.68,10.81,0.5,55.01,22.6,48.55,20.36,87.14,0.5,32.4
2004-4-22,1.97,10.09,13.2,0.1,0.7,59.82,1.63,6.61,0.1,52.17,14.29,61.7,32.12,8.34,0.4,28.3
2007-9-1,1.86,29.61,2.92,0.6,1.5,51.99,26.3,2.24,1.0,49.34,23.16,46.13,4.17,37.72,2.0,29.8
2005-12-26,5.42,23.1,11.59,1.0,1.0,51.44,13.04,3.65,0.5,41.15,28.02,36.86,19.04,40.02,0.5,25.8
2007-10-9,1.0,31.15,1.18,0.6,3.5,61.52,26.4,1.54,2.0,42.14,30.15,47.74,4.68,28.46,4.5,30.1
2013-11-15,1.76,26.01,0.62,1.0,3.5,45.36,23.31,0.74,3.5,58.66,31.3,45.16,5.49,29.39,4.0,33.0
2012-12-17,1.28,26.01,3.11,1.0,3.0,47.01,24.68,9.27,1.0,59.7,15.33,41.55,14.94,46.73,1.0,31.5
2005-7-2,3.28,27.33,2.34,1.0,1.0,47.56,23.4,3.9,0.51,58.28,30.1,61.81,15.35,54.93,2.554,33.0
2011-10-4,1.59,34.0,5.2,1.0,5.0,45.91,32.6,3.36,3.0,46.98,28.0,45.95,6.24,78.87,3.0,32.3
2005-10-9,3.66,19.59,3.65,1.0,3.0,48.67,15.43,3.32,0.5,49.94,29.11,44.43,10.4,40.67,3.5,33.0
2013-5-7,2.65,30.2,4.96,1.0,2.5,54.78,30.27,8.94,2.5,59.08,28.0,47.65,13.61,63.68,1.0,33.0
2008-5-23,7.29,23.16,0.96,1.0,1.0,54.78,25.73,4.47,0.5,49.54,27.53,56.54,17.05,65.37,1.0,31.1
2012-1-3,5.71,32.11,7.09,1.0,2.0,44.81,27.9,6.55,0.5,54.46,21.113,44.57,29.9,71.75,0.5,29.0
2009-9-26,1.15,23.92,2.69,1.0,2.0,51.99,23.23,2.95,2.0,49.14,30.02,49.98,19.79,87.08,2.0,30.5
2010-11-20,3.94,26.39,5.71,1.0,4.5,49.22,21.93,4.31,2.5,58.87,30.13,56.58,16.1,77.6,3.0,33.0
2009-8-4,6.14,22.86,3.53,1.0,2.0,59.26,16.41,3.52,1.0,61.36,28.0,42.95,12.39,90.19,1.0,33.0
2008-11-8,7.52,24.47,11.16,1.0,1.5,67.76,13.73,11.56,1.5,52.98,25.33,43.35,20.23,48.33,1.5,28.9
2010-2-18,1.94,9.53,14.61,0.2,40.0,55.34,0.0,20.66,7.0,89.7,14.5,89.1,62.69,96.95,6.0,33.0
2009-3-28,4.09,19.53,10.89,1.0,0.75,56.46,2.61,4.28,0.75,62.39,30.05,51.31,25.54,91.49,0.5,29.4
2010-11-23,8.84,21.06,1.38,1.0,4.5,51.99,23.53,8.94,2.5,57.39,25.06,56.37,22.85,77.21,3.0,33.0
2012-4-2,1.03,24.75,1.79,1.0,2.0,44.26,26.46,3.09,0.5,60.3,30.0,53.45,7.71,77.54,1.0,29.2
2008-1-23,9.71,24.61,10.39,0.6,0.3,55.34,0.0,4.95,0.2,33.87,25.1,38.01,34.64,34.57,0.31,29.5
2008-9-17,0.98,24.4,1.55,1.0,3.5,58.14,24.33,4.66,1.0,49.94,22.06,51.52,5.77,55.07,4.5,27.7
2008-3-2,2.28,21.33,8.22,0.6,0.5,58.7,16.68,4.12,0.2,37.0,27.93,47.03,33.81,44.26,0.32,31.5
2009-11-25,10.34,22.54,8.17,1.0,2.0,64.35,21.2,11.08,2.0,50.75,26.2,48.14,28.64,87.37,2.0,27.4
2012-3-28,3.72,27.93,3.31,1.0,2.0,43.17,23.68,5.07,1.0,59.5,26.0,52.72,15.27,78.26,1.5,32.0
2014-4-19,2.5,25.0,7.0,0.2,1.0,50.88,19.0,3.75,1.0,47.6,21.9,45.16,9.44,4.65,1.0,23.5
2006-1-7,12.77,1.22,12.86,1.0,0.5,54.78,3.93,7.06,0.5,42.14,27.2,45.73,66.57,44.04,0.53,31.3
2005-12-29,5.22,23.27,5.99,1.0,1.0,47.56,13.24,4.6,0.5,40.95,27.99,37.24,18.25,39.98,0.51,31.1
2014-4-13,6.11,0.0,2.16,0.2,1.0,58.14,5.0,8.31,1.0,49.04,18.97,39.81,27.13,4.88,1.0,25.6
2007-4-19,1.06,25.73,1.09,0.6,1.0,51.99,23.24,5.03,1.01,44.93,28.08,46.73,15.49,50.56,1.0,33.0
2013-4-14,16.25,14.29,9.42,1.0,2.0,49.22,7.5,23.84,1.0,61.83,3.5,49.46,28.8,65.12,1.0,27.9
2004-7-29,4.56,19.4,6.08,0.1,0.5,47.56,733.13,3.59,0.1,46.73,26.16,49.36,15.63,18.65,0.4,31.6
2011-2-17,9.49,9.86,9.29,1.0,25.01,48.11,0.0,9.36,0.25,63.74,21.4,50.47,36.24,94.29,0.25,30.8
2004-3-5,3.68,20.06,6.94,0.1,0.4,56.46,16.01,5.58,0.1,58.28,23.64,53.39,30.76,3.27,0.4,30.6
2008-9-29,1.09,25.02,3.34,1.0,2.0,62.08,21.26,3.79,1.0,50.55,25.1,48.25,14.34,53.15,2.0,26.9
2008-1-14,15.17,0.0,5.79,0.6,0.5,53.66,0.0,5.01,0.5,31.53,19.13,37.15,19.09,31.79,0.5,26.5
2006-9-25,4.55,23.27,3.51,1.0,3.0,57.02,22.78,1.09,1.02,44.13,29.09,41.97,8.79,46.73,3.02,27.7
2010-5-13,4.66,23.39,1.8,1.0,2.0,47.01,25.68,5.98,1.0,94.36,27.05,83.22,16.09,102.04,1.0,33.0
2011-4-19,3.5,25.0,12.39,1.0,1.5,45.36,0.0,5.52,0.5,60.98,28.0,61.8,41.57,99.26,0.5,33.0
2012-12-5,2.8,25.26,3.11,1.0,3.0,44.81,26.68,2.82,2.5,60.35,32.53,37.16,12.38,49.07,1.5,33.0
2013-4-18,1.44,15.15,4.57,1.0,2.0,52.55,9.44,7.11,1.0,59.08,25.0,49.86,21.14,65.79,0.5,31.6
2011-1-20,12.94,23.21,20.27,2.0,80.33,43.72,0.0,12.46,0.25,75.35,19.1,70.85,86.11,101.42,0.25,33.0
2006-9-11,3.26,26.14,1.12,1.0,4.5,57.02,26.08,1.99,2.02,51.36,29.1,42.36,4.51,49.58,4.9,29.7
2006-7-6,2.23,27.53,1.03,1.0,2.0,53.1,29.4,2.43,0.52,53.59,31.57,55.17,12.45,62.0,2.06,33.0
2004-6-25,3.78,21.03,4.68,0.1,0.7,58.7,16.81,3.53,0.1,43.93,24.26,49.36,17.51,17.16,0.4,27.2
2011-9-22,1.0,36.0,1.73,1.0,5.0,47.56,34.0,1.22,3.0,42.66,34.0,49.56,12.34,82.82,3.0,31.8
2010-7-31,5.77,19.39,5.52,1.0,2.29,49.77,9.97,4.29,1.0,86.1,27.1,80.15,6.57,97.31,1.27,31.4
2007-4-20,1.09,27.93,3.09,0.6,1.0,50.88,24.29,4.56,1.01,44.93,28.06,46.53,20.92,50.51,1.0,33.0
2012-8-31,2.43,26.38,1.03,0.59,1.0,62.08,31.3,2.78,1.5,56.97,32.0,51.7,2.74,71.11,1.5,32.7
2005-12-5,5.58,27.22,2.41,1.0,1.0,44.26,23.04,1.92,0.48,37.2,30.06,33.39,29.04,38.61,1.01,30.5
2013-2-14,10.13,10.21,9.09,1.0,1.0,52.55,3.0,8.79,0.25,57.8,20.09,48.95,35.72,55.65,0.25,32.8
2009-10-24,8.79,7.07,3.49,1.0,2.0,59.82,2.12,6.63,1.0,53.79,26.55,50.8,25.86,87.08,1.0,30.2
2007-9-7,1.04,23.49,1.04,0.6,1.5,57.02,27.35,1.35,1.0,48.33,30.84,46.93,9.82,36.8,2.0,30.6
2012-8-1,1.45,30.33,3.04,1.0,1.0,51.44,23.04,5.97,1.5,54.46,28.0,45.46,13.37,78.82,1.5,31.5
2008-2-16,4.43,23.6,9.01,0.6,0.3,51.44,0.0,3.99,0.2,36.81,27.33,42.36,36.78,41.32,0.32,32.2
2007-9-22,1.09,26.14,0.94,0.6,2.5,53.1,31.9,2.05,1.5,46.93,30.34,46.63,7.95,33.23,3.5,31.3
2004-8-1,1.09,23.67,1.05,0.1,0.5,55.9,23.34,3.68,0.1,45.93,26.96,48.04,16.33,18.59,0.4,27.1
2005-11-12,1.87,17.19,3.87,1.0,2.0,47.56,11.96,3.28,0.5,43.73,27.13,43.94,10.01,38.02,2.58,30.5
2010-1-20,8.55,11.03,13.15,0.0,70.0,72.35,0.0,29.17,11.0,90.14,8.58,90.57,64.29,98.35,7.0,31.7
2012-7-2,3.23,13.97,6.4,1.0,2.0,47.01,0.0,4.41,0.5,37.78,28.0,47.15,12.63,82.37,0.5,31.9
2014-5-3,0.33,14.0,1.0,0.2,1.0,47.56,14.0,2.1,1.0,48.63,20.25,39.53,7.34,2.77,1.0,24.1
2005-11-11,1.89,17.23,5.36,1.0,2.0,48.11,12.03,3.3,0.5,44.53,27.8,44.43,10.13,38.06,2.58,30.1
2004-4-9,2.0,20.31,4.9,0.1,0.7,54.78,17.49,3.39,0.1,54.2,24.55,55.91,18.19,6.52,0.4,30.8
2010-5-19,1.31,22.46,4.66,1.0,2.0,50.33,24.6,5.59,1.0,94.36,25.27,87.03,15.04,101.54,1.0,32.8
2012-3-12,2.23,23.04,1.83,1.0,2.0,45.91,23.04,4.83,1.0,55.29,26.94,52.21,14.25,80.39,1.0,29.8
2009-5-23,3.99,26.11,3.11,1.0,1.5,51.99,21.39,3.31,1.5,63.84,28.6,62.14,17.82,92.62,1.5,31.4
2005-7-31,2.1,25.06,1.06,1.0,1.0,47.56,23.17,3.84,0.51,56.23,29.0,54.96,15.33,52.01,2.52,29.9
2005-11-21,2.25,16.91,5.27,1.0,2.0,42.07,11.34,4.3,0.5,38.78,30.01,41.29,13.34,38.02,2.53,29.0
2005-7-12,1.05,26.5,1.06,1.0,1.0,55.34,24.52,2.5,0.51,58.07,27.04,60.62,16.57,53.73,2.53,31.5
2007-5-22,3.9,23.13,0.99,0.6,1.0,57.02,30.5,1.79,1.02,48.74,31.01,43.64,6.09,46.28,1.0,32.2
2004-12-6,4.36,29.5,1.67,1.0,0.7,61.52,21.6,6.75,0.4,41.54,23.9,34.7,18.77,26.71,0.5,29.7
2004-2-23,30.59,26.93,14.47,0.22,0.4,68.33,23.35,20.52,0.1,58.28,15.1,43.54,70.93,5.48,0.43,25.5
2010-11-13,2.11,23.04,2.06,1.0,4.5,48.67,29.32,3.15,2.5,54.87,29.98,54.69,8.21,78.76,3.0,29.7
2007-6-25,3.98,26.54,2.15,0.6,1.0,57.02,23.34,1.37,0.5,49.14,30.02,40.51,8.35,43.06,1.0,29.8
2013-7-12,4.05,29.03,2.51,1.0,1.5,50.88,27.02,5.75,2.0,55.7,28.14,47.95,5.73,56.19,0.5,33.0
2012-8-5,1.68,30.16,3.11,1.0,1.0,46.46,30.15,4.54,1.5,56.34,28.0,45.95,10.35,77.93,1.5,33.0
2012-12-16,13.45,25.65,3.36,1.0,3.0,54.22,26.4,8.92,1.0,58.87,21.6,41.45,25.15,46.87,1.0,29.1
2013-10-28,7.74,30.37,2.51,1.0,1.9,44.81,28.9,1.63,1.72,60.13,31.68,55.11,4.39,33.07,1.88,29.9
2009-4-26,3.69,27.11,7.05,1.0,2.0,60.39,25.52,5.86,2.0,62.6,26.45,61.59,21.91,94.05,2.0,29.8
2005-11-13,1.86,17.15,5.64,1.0,2.0,47.56,11.72,4.84,0.5,42.93,27.96,43.64,5.83,37.94,2.57,31.5
2007-6-17,1.41,26.84,4.93,1.0,1.0,55.9,20.58,2.93,0.5,49.74,30.07,42.17,13.25,44.3,1.01,32.0
2012-6-13,5.23,15.0,10.3,1.0,2.0,47.56,0.0,8.9,0.5,49.46,19.23,60.4,27.85,77.1,0.5,33.0
2004-7-11,8.07,23.21,8.05,0.1,0.7,64.92,26.3,6.42,0.1,46.53,20.03,51.0,30.92,15.68,0.4,26.9
2006-5-9,1.22,27.66,3.82,1.0,2.0,50.33,25.68,5.15,0.52,57.05,28.36,56.12,17.77,69.35,1.0,33.0
2009-4-8,9.28,25.43,8.95,1.0,1.5,50.88,26.46,2.91,1.5,61.57,23.7,49.77,44.81,94.47,1.0,31.1
2007-11-21,1.19,16.56,5.63,0.6,1.0,63.21,13.32,4.03,1.0,32.89,27.116,39.35,23.52,31.31,1.01,28.4
2007-4-30,1.05,27.75,4.53,0.6,1.0,54.78,22.63,1.74,1.01,45.53,30.09,45.43,19.28,50.0,1.0,27.8
2004-2-19,1.69,26.57,3.66,0.22,0.4,40.44,23.34,5.54,0.1,52.78,23.16,40.8,17.1,6.34,0.43,33.0
2007-12-2,1.08,25.73,1.08,0.6,1.0,55.9,25.65,1.46,1.0,32.5,28.05,35.54,11.93,30.6,1.0,29.9
2007-2-10,5.93,20.23,5.78,1.0,0.5,50.33,11321.11,6.92,0.49,37.79,13.39,40.51,43.34,52.91,0.5,30.7
2010-7-2,1.1,21.71,3.74,1.0,2.0,52.55,15.09,4.76,1.0,87.66,26.16,87.27,11.38,98.35,1.0,31.5
2012-1-21,12.26,5.0,15.96,1.0,1.0,41.53,0.0,8.14,0.5,57.18,12.03,62.77,36.9,75.66,0.5,30.4
2008-10-30,16.92,24.93,12.4,1.0,2.38,58.7,21.31,6.26,1.67,53.38,26.2,44.93,40.97,49.07,1.67,28.0
2011-5-26,4.3,25.0,1.29,1.0,1.0,47.56,22.0,2.94,1.0,58.87,33.0,75.28,23.0,99.14,2.0,33.0
2011-10-6,4.9,34.0,2.22,1.0,5.0,46.46,30.0,2.43,3.0,47.8,29.0,44.96,8.95,78.26,3.0,31.4
2006-4-24,3.21,27.33,5.98,1.0,1.0,53.1,19.86,5.77,0.52,55.42,28.23,57.5,20.86,70.58,0.51,33.0
